,subject,config,activity,dev_rr,ref_rr,error,spi_ip,spi_gyr,spi_ref
115,subject_1,wire,walking,22.001740549532542,23.596504002066116,1.5947634525335737,0.32626923662357543,0.6337056300385077,0.8466783791224314
116,subject_1,wire,walking,21.275911774598864,21.49184584874369,0.21593407414482613,0.4060816403014516,0.6152506221734728,0.76120376110514
117,subject_2,wire,walking,20.710649321315266,20.73490943825501,0.02426011693974317,0.6538014087759791,0.8778814512279848,0.7973597253687095
118,subject_2,wire,walking,21.383805553382498,21.194356200227098,0.1894493531553998,0.6312723825248193,0.8775427524251186,0.752591906656168
119,subject_2,wire,walking,21.784004538687,20.852855035501584,0.9311495031854164,0.5893949812524932,0.9076659568583674,0.7542546929951769
120,subject_2,wire,walking,22.56241949872782,18.784581584119678,3.777837914608142,0.5855656772328152,0.9168121625401083,0.6947571580368798
121,subject_2,wire,walking,22.988588178269584,19.525870613404834,3.46271756486475,0.5364001980465093,0.8321817755539503,0.5864345061146724
122,subject_2,wire,walking,22.062362309596782,20.395679912474183,1.6666823971225995,0.5418960591729832,0.8045543107014657,0.6111882394304682
123,subject_2,wire,walking,20.671792692200672,19.989217537927203,0.6825751542734686,0.5871324262859624,0.8170607665192677,0.6370594961160163
124,subject_2,wire,walking,21.226699724721055,20.085641122098856,1.1410586026221985,0.6500450502000952,0.8959307507759099,0.6919948626152843
125,subject_2,wire,walking,25.86256997306328,21.337295177959813,4.525274795103467,0.7221859293284371,0.8951570899967858,0.7668968564599881
126,subject_2,wire,walking,22.872871308933124,21.474693701041296,1.398177607891828,0.6418593571052653,0.900057841629486,0.7638169902120073
127,subject_3,wire,walking,7.288508428594809,15.709137366320563,8.420628937725755,0.5271529101125969,,0.5902549139901496
128,subject_3,wire,walking,8.210190462637717,16.158149402143042,7.947958939505325,0.5058819509319137,,0.623837357045497
129,subject_3,wire,walking,7.229597612431821,16.579318469103193,9.349720856671372,0.46554122930663533,,0.6264572975767378
130,subject_3,wire,walking,6.271702090654761,15.458312152834578,9.186610062179817,0.2601547118761303,,0.5602710488309955
131,subject_3,wire,walking,,14.823080852475405,,0.40428657677855584,0.01707326949141905,0.5243425904702722
132,subject_3,wire,walking,14.048782100517457,16.07235232937474,2.0235702288572845,0.3292162365201231,0.017715494385481395,0.6004183398474844
133,subject_3,wire,walking,13.637283616306721,15.98726692077783,2.3499833044711096,0.522971546776298,0.017731888400342934,0.5427497789585481
134,subject_3,wire,walking,14.611607365995837,15.281343637354881,0.669736271359044,0.6575696540040802,0.0163952876421395,0.5400219862081743
135,subject_3,wire,walking,14.686475172379756,14.38509604512736,0.301379127252396,0.6484234759058861,0.015193679462525584,0.5892717392301704
136,subject_3,wire,walking,14.763256647092131,16.490374924949393,1.7271182778572616,0.5866725742372201,0.016104633485129145,0.6352443449645603
137,subject_3,wire,walking,16.381404992818503,18.545826047742512,2.1644210549240093,0.5735106580054613,0.01653241040828528,0.6921399723082354
138,subject_4,wire,walking,19.05671727832231,17.164998734862106,1.891718543460204,0.602315707751418,0.7095627318356608,0.7442124593853446
139,subject_4,wire,walking,20.81431273723976,20.864669551829046,0.05035681458928565,0.6216542655322408,0.7690943989195355,0.8354769113720633
140,subject_4,wire,walking,22.163892749904466,23.196195066431287,1.0323023165268204,0.6036066323669556,0.7399298871837889,0.8341148799727763
141,subject_4,wire,walking,22.066282137300753,21.14928448215142,0.9169976551493342,0.5820039196078848,0.7350320944767093,0.6658121467787602
142,subject_4,wire,walking,22.541491730641567,20.388134729096688,2.1533570015448795,0.5993396180421834,0.7472952116671489,0.6573329691387804
143,subject_4,wire,walking,22.655320127156926,21.35016055836549,1.305159568791435,0.7353127209013454,0.7400110183202535,0.8149368265713234
144,subject_4,wire,walking,22.70551407076465,23.522953185568472,0.8174391148038218,0.746960539831918,0.766118678859707,0.8241926211592961
145,subject_4,wire,walking,21.725743756394394,21.42006848832385,0.30567526807054435,0.6381706306181121,0.6877050205656967,0.7502801316782879
146,subject_4,wire,walking,18.32953709904381,18.512871664327957,0.18333456528414516,0.48527657040792044,0.6406042691878466,0.6253603231337291
147,subject_4,wire,walking,19.09532169621476,19.353820285127547,0.25849858891278643,0.393000648465743,0.6838135080391167,0.6241805171774106
148,subject_4,wire,walking,20.405153834501554,19.34734158737954,1.0578122471220155,0.4332704519071012,0.6939749999707512,0.6779160674919599
149,subject_5,wire,walking,16.426234025545067,21.93532013173082,5.509086106185752,0.5107210409931129,0.8490695005148974,0.7215646542173424
150,subject_5,wire,walking,22.530250034544604,22.211890766013852,0.31835926853075236,0.49031140353094094,0.8534694340305626,0.7437815089166443
151,subject_5,wire,walking,22.048564498757862,22.4451295982159,0.3965650994580372,0.5850025058681939,0.8606444651893496,0.7828196552195431
152,subject_5,wire,walking,21.822187107404545,23.296846193723027,1.474659086318482,0.6534648105626654,0.8448966615984678,0.7550266924389875
153,subject_5,wire,walking,21.14280242928953,22.82984670146667,1.6870442721771397,0.5706806933287425,0.822355192292932,0.79455993251517
154,subject_5,wire,walking,16.600544435889248,21.17655560349637,4.576011167607124,0.47810659953657453,0.7602175896200813,0.6729706608794815
155,subject_5,wire,walking,16.27261302662913,21.144312092531862,4.871699065902732,0.5242208584106433,0.7685980346102546,0.6245440230125839
156,subject_5,wire,walking,11.18902748862284,13.582949545531381,2.3939220569085418,0.4863970454174111,0.8045746477556934,0.6135819352050594
157,subject_5,wire,walking,17.548169519785322,17.91185392672679,0.3636844069414664,0.5481738482863479,0.8575750637918725,0.613635312818461
158,subject_5,wire,walking,19.613720100636133,19.322415365335843,0.2913047353002902,0.6366282104771791,0.854422746392674,0.6551613011943364
159,subject_5,wire,walking,21.987116963931395,20.771840388114867,1.215276575816528,0.5787772905700127,0.8482075501856032,0.7151251204588435
160,subject_1,patch,walking,16.104240507553175,20.39692163389255,4.2926811263393745,0.607544552487922,,0.7768863731505
161,subject_1,patch,walking,16.115904401543066,17.7153849686783,1.5994805671352346,0.555931645328471,,0.5497177926822896
162,subject_1,patch,walking,17.998847541579515,16.912241121311705,1.0866064202678096,0.5076690191680268,,0.43632168437056496
163,subject_1,patch,walking,20.13969544528513,16.364997020407827,3.774698424877304,0.5739003291940962,,0.4821382034863951
